ID,AGE_BAND,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,RISK_SCORE,RISK_TIER,PROXY_PREMIUM,ESTIMATED_CLAIM_COST,UNDERWRITING_MARGIN,PRICING_STATUS
275820,65+,MALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.6204,1,AFTER 2015,1,1,10238,10000,SEDAN,6,2,7,0,43,High Risk,2050,0,2050,Profitable
521399,65+,FEMALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.7298,1,AFTER 2015,1,0,32765,12000,SEDAN,4,0,0,0,8,High Risk,650,0,650,Profitable
429728,40-64,MALE,MAJORITY,20-29Y,HIGH SCHOOL,UPPER CLASS,0.637,1,BEFORE 2015,1,1,10238,8000,SEDAN,4,1,2,0,19,High Risk,1110,0,1110,Profitable
569640,16-25,FEMALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.5913,1,BEFORE 2015,0,1,10238,12000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
980181,26-39,MALE,MAJORITY,10-19Y,HIGH SCHOOL,MIDDLE CLASS,0.4616,1,BEFORE 2015,1,1,10238,12000,SEDAN,0,2,1,0,13,High Risk,1070,0,1070,Profitable
906223,26-39,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,UPPER CLASS,0.7628,0,AFTER 2015,1,0,10238,12000,SEDAN,0,0,0,0,4,Medium Risk,800,0,800,Profitable
517747,65+,MALE,MAJORITY,30Y+,UNIVERSITY,UPPER CLASS,0.7962,1,BEFORE 2015,1,1,32765,11000,SEDAN,10,2,1,0,33,High Risk,1650,0,1650,Profitable
24851,16-25,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.525,0,BEFORE 2015,1,0,32765,12000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
104086,26-39,FEMALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.6806,1,BEFORE 2015,0,1,32765,12000,SEDAN,0,0,0,1,4,Medium Risk,800,3500,-2700,Underpriced
240658,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.4177,1,BEFORE 2015,0,1,10238,18000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
484399,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.4095,0,BEFORE 2015,0,0,10238,17000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
912828,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,MIDDLE CLASS,0.5533,1,AFTER 2015,1,1,32765,8000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
892754,40-64,MALE,MAJORITY,20-29Y,NONE,POVERTY,0.331,1,BEFORE 2015,1,1,10238,13000,SEDAN,3,1,1,0,14,High Risk,910,0,910,Profitable
217,16-25,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.525,0,BEFORE 2015,0,0,10238,17000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
633896,65+,MALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.5006,1,BEFORE 2015,1,1,32765,7000,SEDAN,13,2,3,0,45,High Risk,2130,0,2130,Profitable
193110,26-39,FEMALE,MAJORITY,10-19Y,UNIVERSITY,MIDDLE CLASS,0.552,1,BEFORE 2015,1,0,10238,14000,SPORTS CAR,0,0,0,0,2,Low Risk,800,0,800,Profitable
98515,40-64,MALE,MAJORITY,10-19Y,HIGH SCHOOL,MIDDLE CLASS,0.627,1,BEFORE 2015,0,0,10238,13000,SEDAN,1,1,0,0,7,Medium Risk,730,0,730,Profitable
165623,26-39,MALE,MAJORITY,10-19Y,NONE,POVERTY,0.2948,1,BEFORE 2015,1,0,10238,15000,SEDAN,0,0,1,0,3,Low Risk,670,0,670,Profitable
493590,26-39,MALE,MAJORITY,10-19Y,UNIVERSITY,MIDDLE CLASS,0.552,0,AFTER 2015,0,0,10238,17000,SEDAN,0,0,1,0,3,Low Risk,670,0,670,Profitable
389792,65+,MALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.6498,1,AFTER 2015,1,1,32765,9000,SEDAN,0,0,0,1,4,Medium Risk,680,3500,-2820,Underpriced
642614,40-64,MALE,MAJORITY,20-29Y,HIGH SCHOOL,MIDDLE CLASS,0.5218,1,AFTER 2015,1,1,92101,7000,SEDAN,2,0,1,0,7,Medium Risk,630,0,630,Profitable
951465,65+,FEMALE,MAJORITY,30Y+,UNIVERSITY,UPPER CLASS,0.7013,1,BEFORE 2015,1,1,10238,10000,SEDAN,3,1,1,0,14,High Risk,890,0,890,Profitable
496987,16-25,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.1712,1,BEFORE 2015,1,1,10238,9000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
732437,16-25,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.3184,1,BEFORE 2015,0,1,32765,10000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
146897,26-39,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,MIDDLE CLASS,0.6047,1,BEFORE 2015,1,1,21217,11000,SEDAN,0,0,0,1,4,Medium Risk,800,3500,-2700,Underpriced
316173,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.505,0,AFTER 2015,0,0,32765,8000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
9013,26-39,MALE,MAJORITY,10-19Y,HIGH SCHOOL,WORKING CLASS,0.6251,1,BEFORE 2015,0,1,10238,17000,SEDAN,3,0,2,0,12,High Risk,1030,0,1030,Profitable
511757,40-64,FEMALE,MAJORITY,10-19Y,NONE,MIDDLE CLASS,0.525,1,BEFORE 2015,1,1,10238,11000,SEDAN,2,0,1,0,7,Medium Risk,730,0,730,Profitable
429947,65+,MALE,MAJORITY,30Y+,UNIVERSITY,UPPER CLASS,0.525,0,AFTER 2015,0,1,10238,12000,SPORTS CAR,6,0,5,0,29,High Risk,1660,0,1660,Profitable
485660,40-64,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.5781,1,BEFORE 2015,0,1,92101,14000,SEDAN,1,0,1,0,5,Medium Risk,650,0,650,Profitable
80496,65+,MALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.7055,1,BEFORE 2015,1,1,10238,10000,SEDAN,5,1,3,0,24,High Risk,1290,0,1290,Profitable
478336,40-64,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6595,1,AFTER 2015,0,1,10238,16000,SEDAN,4,0,2,0,14,High Risk,910,0,910,Profitable
10843,40-64,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.5874,0,AFTER 2015,1,1,32765,9000,SEDAN,10,2,0,0,30,High Risk,1550,0,1550,Profitable
397446,16-25,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.4065,0,BEFORE 2015,0,0,10238,16000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
101678,26-39,FEMALE,MAJORITY,10-19Y,HIGH SCHOOL,POVERTY,0.2857,0,BEFORE 2015,0,1,10238,13000,SEDAN,1,0,0,1,2,Low Risk,630,3500,-2870,Underpriced
231661,40-64,MALE,MAJORITY,20-29Y,HIGH SCHOOL,MIDDLE CLASS,0.5023,0,BEFORE 2015,0,0,10238,14000,SPORTS CAR,3,0,4,0,20,High Risk,1320,0,1320,Profitable
173782,65+,MALE,MAJORITY,20-29Y,HIGH SCHOOL,UPPER CLASS,0.6256,1,AFTER 2015,1,1,10238,7000,SEDAN,7,0,5,0,29,High Risk,1490,0,1490,Profitable
921097,40-64,FEMALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.525,1,AFTER 2015,1,1,92101,11000,SEDAN,3,0,2,0,12,High Risk,830,0,830,Profitable
98839,26-39,FEMALE,MINORITY,10-19Y,UNIVERSITY,WORKING CLASS,0.3932,1,BEFORE 2015,0,1,32765,12000,SEDAN,1,0,0,0,2,Low Risk,630,0,630,Profitable
105372,26-39,FEMALE,MINORITY,10-19Y,NONE,WORKING CLASS,0.5039,0,BEFORE 2015,0,1,10238,14000,SEDAN,1,0,0,0,2,Low Risk,630,0,630,Profitable
888828,40-64,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6586,1,BEFORE 2015,1,0,10238,14000,SEDAN,3,0,2,0,12,High Risk,830,0,830,Profitable
37454,26-39,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.5241,0,BEFORE 2015,0,0,10238,17000,SEDAN,0,0,0,1,4,Medium Risk,800,3500,-2700,Underpriced
370044,65+,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.5531,0,AFTER 2015,1,1,32765,7000,SEDAN,9,0,1,0,21,High Risk,1170,0,1170,Profitable
768282,16-25,FEMALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.4476,0,BEFORE 2015,1,1,10238,8000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
738729,16-25,FEMALE,MAJORITY,0-9Y,NONE,WORKING CLASS,0.5107,1,BEFORE 2015,1,1,10238,7000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
437535,26-39,FEMALE,MAJORITY,10-19Y,HIGH SCHOOL,MIDDLE CLASS,0.525,1,AFTER 2015,1,0,10238,15000,SEDAN,0,0,0,0,0,Low Risk,550,0,550,Profitable
329536,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.4614,0,BEFORE 2015,0,0,32765,9000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
328531,40-64,FEMALE,MAJORITY,20-29Y,UNIVERSITY,MIDDLE CLASS,0.3876,0,AFTER 2015,0,1,32765,12000,SEDAN,2,0,1,0,7,Medium Risk,630,0,630,Profitable
123941,40-64,FEMALE,MAJORITY,20-29Y,UNIVERSITY,MIDDLE CLASS,0.5702,1,AFTER 2015,1,1,10238,11000,SEDAN,0,0,0,0,0,Low Risk,350,0,350,Profitable
131881,26-39,MALE,MAJORITY,10-19Y,UNIVERSITY,WORKING CLASS,0.5501,1,BEFORE 2015,0,0,10238,16000,SEDAN,0,1,0,0,5,Medium Risk,750,0,750,Profitable
839572,40-64,MALE,MAJORITY,20-29Y,HIGH SCHOOL,WORKING CLASS,0.4529,0,BEFORE 2015,1,1,10238,12000,SEDAN,3,0,1,0,9,High Risk,710,0,710,Profitable
171578,26-39,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.525,1,BEFORE 2015,1,1,10238,8000,SEDAN,2,0,1,0,7,Medium Risk,830,0,830,Profitable
589757,40-64,FEMALE,MAJORITY,20-29Y,HIGH SCHOOL,UPPER CLASS,0.5353,1,BEFORE 2015,1,1,92101,7000,SEDAN,2,0,0,0,4,Medium Risk,510,0,510,Profitable
336859,16-25,FEMALE,MAJORITY,0-9Y,UNIVERSITY,MIDDLE CLASS,0.6147,1,BEFORE 2015,0,1,10238,15000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
788111,40-64,FEMALE,MINORITY,20-29Y,HIGH SCHOOL,POVERTY,0.4544,1,BEFORE 2015,1,1,10238,11000,SEDAN,1,0,1,0,5,Medium Risk,550,0,550,Profitable
407453,40-64,FEMALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.6137,1,BEFORE 2015,0,0,10238,12000,SEDAN,0,0,0,0,4,Medium Risk,700,0,700,Profitable
367026,40-64,FEMALE,MINORITY,10-19Y,HIGH SCHOOL,WORKING CLASS,0.5327,1,BEFORE 2015,1,1,10238,11000,SEDAN,0,0,0,0,0,Low Risk,450,0,450,Profitable
334687,40-64,FEMALE,MINORITY,0-9Y,UNIVERSITY,MIDDLE CLASS,0.4277,1,BEFORE 2015,0,0,10238,15000,SEDAN,0,0,0,1,4,Medium Risk,700,3500,-2800,Underpriced
623367,65+,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6859,1,BEFORE 2015,1,1,32765,5000,SEDAN,4,1,4,0,25,High Risk,1330,0,1330,Profitable
688440,65+,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.6936,1,BEFORE 2015,1,1,10238,10000,SEDAN,2,0,0,0,4,Medium Risk,590,0,590,Profitable
547974,65+,MALE,MAJORITY,20-29Y,HIGH SCHOOL,UPPER CLASS,0.598,0,BEFORE 2015,1,1,10238,12000,SEDAN,2,1,7,1,30,High Risk,1530,3500,-1970,Underpriced
989064,26-39,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.3308,0,AFTER 2015,1,1,10238,12000,SEDAN,0,0,0,1,4,Medium Risk,800,3500,-2700,Underpriced
422816,40-64,MALE,MAJORITY,20-29Y,HIGH SCHOOL,WORKING CLASS,0.525,1,BEFORE 2015,0,0,10238,12000,SEDAN,5,0,7,0,31,High Risk,1590,0,1590,Profitable
307408,26-39,FEMALE,MINORITY,10-19Y,NONE,WORKING CLASS,0.525,1,BEFORE 2015,0,1,10238,9000,SEDAN,2,0,0,0,4,Medium Risk,710,0,710,Profitable
675898,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,MIDDLE CLASS,0.5083,1,BEFORE 2015,0,1,10238,16000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
480452,26-39,FEMALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.7641,1,BEFORE 2015,1,1,10238,12000,SEDAN,0,0,0,0,4,Medium Risk,800,0,800,Profitable
93199,40-64,FEMALE,MAJORITY,0-9Y,UNIVERSITY,MIDDLE CLASS,0.4775,1,AFTER 2015,1,1,10238,14000,SEDAN,0,0,0,0,4,Medium Risk,700,0,700,Profitable
125802,40-64,FEMALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6812,1,BEFORE 2015,1,1,10238,10000,SEDAN,0,0,1,0,3,Low Risk,470,0,470,Profitable
616663,40-64,MALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.4672,1,AFTER 2015,0,0,10238,16000,SEDAN,0,0,0,0,4,Medium Risk,700,0,700,Profitable
423497,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.3942,1,BEFORE 2015,0,0,10238,16000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
492837,40-64,FEMALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.6611,1,AFTER 2015,1,1,10238,14000,SEDAN,0,0,0,0,0,Low Risk,450,0,450,Profitable
422563,40-64,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6652,0,BEFORE 2015,0,1,10238,14000,SEDAN,2,0,1,0,7,Medium Risk,630,0,630,Profitable
185231,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,MIDDLE CLASS,0.5608,1,BEFORE 2015,0,1,10238,11000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
949152,26-39,FEMALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.7454,0,AFTER 2015,0,0,32765,9000,SEDAN,0,0,0,0,0,Low Risk,550,0,550,Profitable
859453,26-39,MALE,MAJORITY,10-19Y,UNIVERSITY,MIDDLE CLASS,0.5326,1,BEFORE 2015,1,1,10238,13000,SEDAN,1,0,2,0,8,High Risk,870,0,870,Profitable
466578,26-39,FEMALE,MAJORITY,10-19Y,HIGH SCHOOL,MIDDLE CLASS,0.5267,1,AFTER 2015,0,1,10238,14000,SEDAN,0,0,0,0,0,Low Risk,550,0,550,Profitable
998214,16-25,FEMALE,MINORITY,0-9Y,NONE,POVERTY,0.4125,0,BEFORE 2015,0,0,10238,14000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
828462,40-64,MALE,MAJORITY,20-29Y,HIGH SCHOOL,WORKING CLASS,0.3871,0,BEFORE 2015,0,1,10238,16000,SEDAN,0,0,6,0,18,High Risk,1070,0,1070,Profitable
511837,65+,MALE,MAJORITY,10-19Y,HIGH SCHOOL,MIDDLE CLASS,0.55,1,BEFORE 2015,1,1,32765,9000,SEDAN,3,1,1,0,14,High Risk,990,0,990,Profitable
554995,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,UPPER CLASS,0.5853,1,BEFORE 2015,1,1,10238,12000,SPORTS CAR,0,0,0,1,10,High Risk,1300,3500,-2200,Underpriced
680717,65+,MALE,MAJORITY,30Y+,NONE,MIDDLE CLASS,0.5987,1,BEFORE 2015,1,1,10238,14000,SEDAN,6,1,3,0,26,High Risk,1370,0,1370,Profitable
978021,40-64,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6027,1,AFTER 2015,1,1,10238,7000,SEDAN,4,0,6,0,26,High Risk,1390,0,1390,Profitable
509815,26-39,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.5115,1,AFTER 2015,1,1,32765,12000,SEDAN,0,0,0,0,4,Medium Risk,800,0,800,Profitable
6676,40-64,FEMALE,MAJORITY,20-29Y,HIGH SCHOOL,UPPER CLASS,0.5587,0,BEFORE 2015,0,1,10238,15000,SEDAN,3,0,2,0,12,High Risk,830,0,830,Profitable
362280,40-64,MALE,MAJORITY,10-19Y,HIGH SCHOOL,WORKING CLASS,0.6284,0,BEFORE 2015,0,0,10238,13000,SEDAN,0,0,0,1,0,Low Risk,450,3500,-3050,Underpriced
883018,40-64,MALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.5058,1,BEFORE 2015,0,1,10238,13000,SEDAN,0,0,0,0,4,Medium Risk,700,0,700,Profitable
889355,26-39,FEMALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.7268,1,BEFORE 2015,1,1,10238,15000,SEDAN,2,0,0,0,4,Medium Risk,710,0,710,Profitable
198273,65+,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6904,1,AFTER 2015,1,1,32765,9000,SEDAN,8,0,2,0,22,High Risk,1210,0,1210,Profitable
197763,40-64,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.4797,0,AFTER 2015,1,0,10238,14000,SEDAN,1,0,2,0,8,High Risk,670,0,670,Profitable
55670,26-39,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.525,1,AFTER 2015,1,1,10238,11000,SEDAN,3,1,0,0,11,High Risk,990,0,990,Profitable
545941,40-64,FEMALE,MAJORITY,20-29Y,NONE,WORKING CLASS,0.4406,1,AFTER 2015,1,1,10238,11000,SEDAN,1,0,2,0,8,High Risk,670,0,670,Profitable
814196,16-25,FEMALE,MAJORITY,0-9Y,NONE,MIDDLE CLASS,0.6341,1,BEFORE 2015,0,1,32765,12000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
560160,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.4575,0,BEFORE 2015,0,0,10238,12000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
320444,26-39,MALE,MAJORITY,0-9Y,NONE,POVERTY,0.3086,0,BEFORE 2015,0,1,10238,14000,SEDAN,0,0,0,0,4,Medium Risk,800,0,800,Profitable
305793,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.2458,0,BEFORE 2015,1,1,10238,11000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
362190,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.3056,0,BEFORE 2015,0,0,10238,14000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
62647,26-39,MALE,MAJORITY,10-19Y,HIGH SCHOOL,UPPER CLASS,0.744,1,BEFORE 2015,0,0,10238,13000,SEDAN,2,0,1,0,7,Medium Risk,830,0,830,Profitable
296948,40-64,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.6705,1,AFTER 2015,1,1,10238,14000,SEDAN,0,0,0,0,0,Low Risk,450,0,450,Profitable
673660,65+,FEMALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.683,0,AFTER 2015,1,1,10238,10000,SEDAN,4,1,3,0,22,High Risk,1210,0,1210,Profitable
945867,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,MIDDLE CLASS,0.8286,1,BEFORE 2015,0,0,10238,13000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
391880,65+,MALE,MAJORITY,30Y+,NONE,MIDDLE CLASS,0.525,1,BEFORE 2015,1,1,32765,10000,SEDAN,12,2,2,0,40,High Risk,1930,0,1930,Profitable
241973,65+,FEMALE,MAJORITY,30Y+,HIGH SCHOOL,UPPER CLASS,0.6293,1,BEFORE 2015,1,0,10238,11000,SEDAN,2,0,2,0,10,High Risk,730,0,730,Profitable
429503,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.2837,0,BEFORE 2015,0,1,10238,15000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
810013,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.4576,1,AFTER 2015,0,0,10238,14000,SPORTS CAR,0,0,0,1,10,High Risk,1300,3500,-2200,Underpriced
663458,16-25,FEMALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.305,0,BEFORE 2015,0,0,10238,15000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
879976,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,WORKING CLASS,0.5517,0,BEFORE 2015,1,1,32765,10000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
418841,16-25,MALE,MINORITY,0-9Y,NONE,POVERTY,0.3187,1,BEFORE 2015,1,0,32765,9000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
542236,26-39,MALE,MINORITY,10-19Y,NONE,WORKING CLASS,0.4369,1,BEFORE 2015,0,0,10238,12000,SEDAN,3,0,0,0,6,Medium Risk,790,0,790,Profitable
937573,40-64,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.6292,1,BEFORE 2015,1,1,32765,7000,SEDAN,5,0,1,0,13,High Risk,970,0,970,Profitable
670850,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.4056,1,BEFORE 2015,0,0,10238,17000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
151252,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,MIDDLE CLASS,0.6235,1,BEFORE 2015,1,0,10238,11000,SEDAN,0,0,0,0,8,High Risk,1050,0,1050,Profitable
706349,65+,MALE,MAJORITY,10-19Y,UNIVERSITY,UPPER CLASS,0.727,1,BEFORE 2015,1,1,10238,10000,SEDAN,1,1,2,0,13,High Risk,950,0,950,Profitable
602998,65+,MALE,MAJORITY,20-29Y,NONE,WORKING CLASS,0.4268,1,BEFORE 2015,1,0,10238,14000,SEDAN,3,1,7,0,32,High Risk,1610,0,1610,Profitable
242772,26-39,FEMALE,MAJORITY,10-19Y,NONE,MIDDLE CLASS,0.5037,1,BEFORE 2015,0,1,10238,10000,SEDAN,1,2,0,0,12,High Risk,1030,0,1030,Profitable
393449,26-39,FEMALE,MAJORITY,10-19Y,HIGH SCHOOL,MIDDLE CLASS,0.525,0,BEFORE 2015,0,0,10238,12000,SEDAN,2,0,0,0,4,Medium Risk,710,0,710,Profitable
380740,65+,MALE,MAJORITY,30Y+,UNIVERSITY,UPPER CLASS,0.7264,1,AFTER 2015,1,1,10238,7000,SEDAN,2,0,3,0,13,High Risk,850,0,850,Profitable
938115,16-25,FEMALE,MAJORITY,0-9Y,NONE,POVERTY,0.2445,0,BEFORE 2015,0,1,32765,12000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
727943,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,MIDDLE CLASS,0.5758,1,BEFORE 2015,0,0,10238,11000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
766309,16-25,MALE,MAJORITY,0-9Y,HIGH SCHOOL,POVERTY,0.525,0,BEFORE 2015,0,0,10238,10000,SPORTS CAR,0,0,0,1,10,High Risk,1300,3500,-2200,Underpriced
261229,16-25,MALE,MAJORITY,0-9Y,UNIVERSITY,WORKING CLASS,0.4687,1,AFTER 2015,0,1,32765,9000,SEDAN,0,0,0,1,8,High Risk,1050,3500,-2450,Underpriced
60866,65+,MALE,MAJORITY,20-29Y,UNIVERSITY,UPPER CLASS,0.6971,0,AFTER 2015,0,1,10238,13000,SEDAN,3,0,2,0,12,High Risk,810,0,810,Profitable
